"SOURCE_JOB_NUMBER","CREATED_AT","COMPLETED_AT","STATUS","SOURCE_STATUS","SOURCE_LOCATION_CODE","SOURCE_JOB_TYPE","SOURCE_SERVICE_TYPE","SERVICE_CATEGORY","SOURCE_CUSTOMER_ID","SOURCE_VEHICLE_ID","SOURCE_INVOICE_PARTY","SOURCE_INVOICE_NUMBER","OPENING_MILEAGE","SOURCE_SALESMAN","SOURCE_OPERATOR"
JCI12336,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0018990,A00095,II210317,94804,,SANJEB
JCI12337,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0011909,A00115,II210246,497992,,VPANKI
JCI12338,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0008759,A00095,II210233,224298,,VPANKI
JCI12339,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0019351,A00115,II210211,86672,,SANJEB
JCI12340,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0018038,A00115,II210205,143190,,SANJEB
JCI12341,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,FRC,LUB,general_maintenance,,V0015667,A00095,II210256,74273,,VPANKI
JCI12342,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0018660,A00115,II210330,120335,,VPANKI
JCI12343,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0009676,A00115,II210202,758865,,SANJEB
JCI12344,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,BDY,FAL,bodywork,,V0011715,A00115,II401144,488574,,JESSIE
JCI12345,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0015667,A00095,II210372,74274,,VPANKI
JCI12346,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0018245,A00115,II210208,151392,,SANJEB
JCI12347,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0018739,M00130,II100212,51834,"000000",JESSIE
JCI12348,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0010465,A00115,II210479,569540,,SANJEB
JCI12349,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0007125,A00115,II210373,840801,,VPANKI
JCI12350,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0011057,A00115,II215751,517562,,SANJEB
JCI12351,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0019284,A00115,II210249,105501,,VPANKI
JCI12352,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0010659,A00115,II210472,568780,,SANJEB
JCI12353,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0018156,A00115,II210250,164983,,VPANKI
JCI12354,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0019897,A00115,II210238,55110,,VPANKI
JCI12355,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0006962,A00115,II210328,879154,,VPANKI
JCI12356,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0009987,A00115,II210239,616263,,VPANKI
JCI12357,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0011339,A00115,II210334,460001,,VPANKI
JCI12358,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0006749,A00115,II210467,910470,,SANJEB
JCI12359,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0020413,A00115,II210237,9734,,VPANKI
JCI12360,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0011052,A00115,II210491,489535,,SANJEB
JCI12361,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,BDY,NFL,bodywork,,V0018033,Q00001,II301223,151658,,JESSIE
JCI12362,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0010702,A00115,II210325,604059,,VPANKI
JCI12363,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0011112,A00095,II212609,82652,,MOATIF
JCI12364,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0006873,A00115,II210369,831060,,VPANKI
JCI12365,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0011671,A00115,II210340,490927,,VPANKI
JCI12366,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0010949,A00095,II212374,79811,,MOATIF
JCI12367,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0015508,A00095,II212168,76315,,JESSIE
JCI12368,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0017261,A00095,II210310,59706,,VPANKI
JCI12369,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,BDY,NFL,bodywork,,V0018156,Q00001,II301219,164984,,JESSIE
JCI12370,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0018495,A00115,II210253,134916,,VPANKI
JCI12371,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0019210,A00115,II210235,113319,,VPANKI
JCI12372,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0010523,A00115,II210326,464139,,SANJEB
JCI12373,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0020174,A00095,II210294,25396,,VPANKI
JCI12374,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,BDY,ACC,bodywork,,V0019004,A00115,II401143,102869,,JESSIE
JCI12375,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0018270,A00115,II210466,162246,,SANJEB
JCI12376,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0014621,A00115,II210260,289522,,VPANKI
JCI12377,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0018277,A00115,II210236,135191,,VPANKI
JCI12378,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0010051,A00115,II210339,568808,,VPANKI
JCI12379,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,BDY,NFL,bodywork,,V0018482,Q00001,II301227,158112,,JESSIE
JCI12380,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,BDY,ACC,bodywork,,V0007051,A00115,II401138,828332,,JESSIE
JCI12381,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0019944,A00115,II210259,54911,,VPANKI
JCI12382,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0014146,A00115,II210203,276611,,SANJEB
JCI12383,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,FRC,CNT,general_maintenance,,V0011285,A00095,II210305,100800,,VPANKI
JCI12384,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0018465,A00115,II210331,158843,,VPANKI
JCI12385,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0006645,A00115,II210855,900117,,SANJEB
JCI12386,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0018186,A00115,II210313,159718,,SANJEB
JCI12387,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0006537,A00115,II210462,836386,,SANJEB
JCI12388,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0018120,A00115,II210204,167730,,SANJEB
JCI12389,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0010687,A00115,II210984,533282,,SANJEB
JCI12390,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0009949,A00115,II210251,590867,,VPANKI
JCI12391,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0018673,A00115,II210428,120555,,SANJEB
JCI12392,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0020578,A00095,II210257,11111,,VPANKI
JCI12393,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0019521,A00115,II210316,84744,,SANJEB
JCI12394,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0018993,A00115,II210267,116099,,VPANKI
JCI12395,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0018678,A00115,II210335,147761,,VPANKI
JCI12396,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0014615,A00115,II210333,268250,,VPANKI
JCI12397,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0010577,A00115,II210490,490919,,SANJEB
JCI12398,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0006686,A00115,II210489,859594,,SANJEB
JCI12399,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0006550,A00115,II210463,99999918,,SANJEB
JCI12400,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,FRC,CNT,general_maintenance,,V0020174,A00095,II213292,25397,,ALBITE
JCI12401,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0018208,A00115,II210315,161886,,SANJEB
JCI12402,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0019336,A00115,II210261,100786,,VPANKI
JCI12403,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,BDY,ACC,bodywork,,V0001699,A00115,II401139,904116,,JESSIE
JCI12404,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,BDY,FAL,bodywork,,V0010653,A00115,II401185,625863,,JESSIE
JCI12405,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0017119,A00095,II210295,138033,,VPANKI
JCI12406,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0019052,A00115,II210314,145199,,SANJEB
JCI12407,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,BDY,NFL,bodywork,,V0011057,Q00001,II301225,517563,,JESSIE
JCI12408,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,BDY,NFL,bodywork,,V0013656,Q00001,II301228,337149,,JESSIE
JCI12409,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0019232,A00115,II216631,115021,,SANJEB
JCJ03015,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ALN,MEC,MEC,general_maintenance,,V0018811,A00115,IJ202372,145437,,SHAMED
JCJ03016,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ALN,MEC,MEC,general_maintenance,,V0018485,A00115,IJ202367,145739,,SHAMED
JCJ03017,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ALN,MEC,MEC,general_maintenance,,V0019638,A00115,IJ202371,70550,,SHAMED
JCJ03018,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ALN,MEC,MEC,general_maintenance,,V0011603,A00115,IJ202370,454067,,SHAMED
JCJ03019,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ALN,BDY,NFL,bodywork,,V0016956,A00170,IJ300299,40982,,SHAMED
JCJ03020,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ALN,MEC,MEC,general_maintenance,,V0010546,A00115,IJ202382,634065,,SHAMED
JCJ03021,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ALN,MEC,MEC,general_maintenance,,V0019668,A00115,IJ202366,78981,,SHAMED
JCJ03022,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ALN,BDY,NFL,bodywork,,V0018845,Q00001,IJ300301,133339,,SHAMED
JCJ03023,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ALN,MEC,MEC,general_maintenance,,V0008783,A00115,IJ202373,747810,,SHAMED
JCJ03024,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ALN,MEC,MEC,general_maintenance,,V0008339,M00130,IJ100193,888380,"000000",SHAMED
JCJ03025,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ALN,MEC,MEC,general_maintenance,,V0018466,A00115,IJ202374,138884,,SHAMED
JCJ03026,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ALN,MEC,MEC,general_maintenance,,V0019617,A00115,IJ202361,81192,,SHAMED
JCJ03027,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ALN,MEC,MEC,general_maintenance,"2812",V0017433,C00002,IJ100187,278411,"510301",SHAMED
JCJ03028,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ALN,FRC,CNT,general_maintenance,,V0014836,A00095,IJ202362,98000,,SHAMED
JCJ03029,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ALN,MEC,MEC,general_maintenance,,V0019491,A00115,IJ202377,115541,,SHAMED
JCJ03030,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ALN,MEC,MEC,general_maintenance,,V0018557,A00115,IJ202390,133021,,SHAMED
JCJ03031,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ALN,MEC,MEC,general_maintenance,,V0009180,A00115,IJ202360,725417,,SHAMED
JCJ03032,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ALN,MEC,MEC,general_maintenance,,V0018362,A00115,IJ202359,175502,,SHAMED
JCJ03033,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ALN,MEC,MEC,general_maintenance,,V0018853,A00115,IJ202368,144976,,SHAMED
JCJ03034,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ALN,MEC,MEC,general_maintenance,,V0017160,A00095,IJ202375,76824,,SHAMED
JCJ03035,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ALN,BDY,FAL,bodywork,,V0020579,O00005,IJ300329,65000,"510301",SHAMED
JCJ03036,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ALN,MEC,MEC,general_maintenance,,V0010674,A00115,IJ202389,522406,,SHAMED
JCJ03037,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ALN,MEC,MEC,general_maintenance,,V0016413,A00095,IJ202441,51111,,SHAMED
JCJ03038,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ALN,MEC,MEC,general_maintenance,,V0019649,A00115,IJ202378,69950,,SHAMED
JCK03118,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,DXB,BDY,NFL,bodywork,,V0020572,A00170,IK300286,1200,,ABRARI
JCK03119,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,DXB,BDY,NFL,bodywork,,V0020571,A00170,IK300228,2000,,DIPINJ
JCK03120,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,DXB,BDY,ACC,bodywork,,V0015384,D00021,IK400134,91471,,DIPINJ
JCK03121,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,DXB,BDY,FAL,bodywork,,V0015792,A00170,IK300258,505059,,DIPINJ
JCK03122,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,DXB,MEC,MEC,general_maintenance,,V0010932,D00021,IK202895,99546,,ABRARI
JCK03123,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,DXB,MEC,MEC,general_maintenance,,V0015396,D00021,IK202969,98582,,SARWAR
JCK03124,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,DXB,MEC,MEC,general_maintenance,,V0014682,D00021,IK202910,80726,,ABRARI
JCK03125,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,DXB,BDY,ACC,bodywork,,V0020574,D00021,IK400133,13015,,DIPINJ
JCK03126,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,DXB,MEC,MEC,general_maintenance,,V0019308,D00021,IK202834,72388,,SARWAR
JCK03127,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,DXB,MEC,MEC,general_maintenance,,V0019308,D00021,IK202885,72389,,SARWAR
JCK03128,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,DXB,MEC,MEC,general_maintenance,,V0013054,D00021,IK202915,73325,,SARWAR
JCK03129,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,DXB,FRC,CNT,general_maintenance,,V0010984,D00021,IK202778,87520,,MIMRAN
JCK03130,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,DXB,MEC,MEC,general_maintenance,,V0010984,D00021,IK202792,87522,,MIMRAN
JCK03131,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,DXB,MEC,MEC,general_maintenance,,V0020576,D00021,IK202788,9266,,MIMRAN
JCK03132,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,DXB,MEC,MEC,general_maintenance,,V0016161,D00021,IK202881,69460,,ABRARI
JCK03133,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,DXB,FRC,CNT,general_maintenance,,V0017956,D00021,IK202781,59678,,MIMRAN
JCK03134,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,DXB,MEC,MEC,general_maintenance,,V0017956,D00021,IK202923,59679,,ABRARI
JCK03135,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,DXB,FRC,CNT,general_maintenance,,V0012278,D00021,IK202775,88328,,MIMRAN
JCK03136,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,DXB,MEC,MEC,general_maintenance,,V0012278,D00021,IK202794,88329,,MIMRAN
JCK03137,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,DXB,MEC,MEC,general_maintenance,,V0009704,D00021,IK203066,165218,,ABRARI
JCK03138,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,DXB,FRC,CNT,general_maintenance,,V0012759,D00021,IK202777,78082,,MIMRAN
JCK03139,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,DXB,MEC,MEC,general_maintenance,,V0012759,D00021,IK202793,78082,,MIMRAN
JCK03140,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,DXB,MEC,MEC,general_maintenance,,V0013532,D00021,IK203095,102838,,SARWAR
JCK03141,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,DXB,MEC,MEC,general_maintenance,,V0017579,D00021,IK202797,43405,,MIMRAN
